timestamp,ticker,score
2023-07-02,AVGO,156
2023-07-04,BBBY,203
2023-07-04,TSMC,196
2023-07-04,TSM,198
2023-07-05,RIVN,149
2023-07-06,TSLA,1402
2023-07-07,SPX,115
2023-07-10,SAVE,171
2023-07-12,HOOD,125
2023-07-13,UPS,131
2023-07-13,COIN,240
2023-07-14,SNAP,104
2023-07-14,NKLA,130
2023-07-17,F,108
2023-07-17,BUD,197
2023-07-18,RKLB,230
2023-07-18,MSFT,296
2023-07-20,CVNA,322
2023-07-21,AMC,456
2023-07-24,NFLX,154
2023-07-25,PACW,223
2023-07-25,DISH,385
2023-07-25,RTX,268
2023-07-25,GOOG,103
2023-07-26,TLRY,119
2023-07-27,INTC,314
2023-07-29,UPST,147
2023-07-31,PLTR,511
2023-07-31,DIS,308
2023-07-31,SOFI,262
2023-08-01,AMD,594
2023-08-02,PYPL,324
2023-08-02,SHOP,774
2023-08-02,AAPL,215
2023-08-03,AMZN,381
2023-08-07,RIVN,105
2023-08-08,UPS,585
2023-08-11,AMC,262
2023-08-15,SQQQ,121
2023-08-15,NFLX,113
2023-08-16,TQQQ,117
2023-08-19,BUD,138
2023-08-21,NVDA,1084
2023-08-23,AMD,140
2023-08-29,SPX,135
2023-09-01,TSLA,1402
2023-09-01,GME,269
2023-09-02,FSD,180
2023-09-05,AMC,231
2023-09-05,MSOS,576
2023-09-06,DIS,309
2023-09-07,NVAX,186
2023-09-08,NIO,263
2023-09-12,AAPL,301
2023-09-13,NFLX,116
2023-09-16,SNAP,168
2023-09-21,PYPL,112
2023-09-21,SPLK,1197
2023-09-23,TQQQ,147
2023-09-25,TLRY,337
2023-09-25,VIX,126
2023-09-25,SPX,107
2023-09-28,PLTR,134
2023-10-02,UBS,103
2023-10-03,NVAX,131
2023-10-04,NFLX,848
2023-10-05,RIVN,191
2023-10-06,LCID,313
2023-10-06,QQQ,279
2023-10-11,PPI,101
2023-10-12,MSFT,143
2023-10-12,PYPL,138
2023-10-12,GME,163
2023-10-13,AMC,469
2023-10-17,DWAC,138
2023-10-17,NVDA,871
2023-10-18,TSLA,1087
2023-10-19,LLY,177
2023-10-23,HOOD,147
2023-10-25,BB,257
2023-10-26,UPS,154
2023-10-26,AMZN,230
